variable,True Toads_median,True Toads_sd,Tree Frogs_median,Tree Frogs_sd
Head Length,18.814999999999998,8.753280083342693,12.875,6.333996845306907
Femur Length,22.805,10.888283576774233,17.96,9.078105460045704
Antebrachial Length,14.955,6.2520745927079044,7.6,3.376081247855742
Snout-Vent Length,59.28,27.496859341689603,37.485,17.458024690991277
