variable,Median,Sd,Median,Sd
Head Length,18.815000000000000,8.753280083342690,12.875,6.333996845306910
Femur Length,22.805,10.888283576774200,17.96,9.078105460045700
Antebrachial Length,14.955,6.2520745927079000,7.6,3.376081247855740
Snout-Vent Length,59.28,27.496859341689600,37.485,17.458024690991300
