Cruise Number,Sample Date Local,Year,Vessel Name,Transect Name,Distance Offshore Nautical Miles,Station Depth Meters,Station Code,Start Time Local,Start Latitude Decimal Degrees North,Start Longitude Decimal Degrees West,Salmon Id Number,Common Name,Genus Species,Age Classbylength,Tagged Code,Tagged Description,Salmon Field Length Millimeters,Type Of Length,Length Description,Salmon Lab Length Millimeters,Salmon Lab Weight Grams,Stomach Condition Description,Prey Item Genus Species,Prey Item Common Name,Prey Item Life History Stage,Prey Item Count,Prey Item Weight Grams,Prey Item Condition Description,Record Number,Accessed Date,Source Url,Preferred Citation
51,2015-05-25 00:00:00,2015,Frosti,,,112,052515MC12,2015-05-25 16:19:00,46.26817,-124.3152,35261,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,136,FL (mm),Fork Length,137,21.2,Most to genus or taxa,CANCER OREGONENSIS/PRODUCTUS,CANCER OREG/PROD,Megalopa,6,.069,Most to genus or taxa,Row 11 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,112,052515MC12,2015-05-25 16:19:00,46.26817,-124.3152,35261,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,136,FL (mm),Fork Length,137,21.2,Most to genus or taxa,CANCER,CANCER,Zoea,1,.003,Most to genus or taxa,Row 12 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,112,052515MC12,2015-05-25 16:19:00,46.26817,-124.3152,35261,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,136,FL (mm),Fork Length,137,21.2,Most to genus or taxa,HYPERIIDAE,HYPERIIDAE,Adult,1,.001,Most to genus or taxa,Row 13 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,112,052515MC12,2015-05-25 16:19:00,46.26817,-124.3152,35262,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/CWT,Ad clipped & CWT,141,FL (mm),Fork Length,137,24.6,Some to taxa,OSTEICHTHYES,BONY FISHES,Material,0,.05,Some to taxa,Row 14 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,112,052515MC12,2015-05-25 16:19:00,46.26817,-124.3152,35262,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/CWT,Ad clipped & CWT,141,FL (mm),Fork Length,137,24.6,Some to taxa,CANCER,CANCER,Megalopa,0,.028,Some to taxa,Row 15 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,112,052515MC12,2015-05-25 16:19:00,46.26817,-124.3152,35266,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,140,FL (mm),Fork Length,138,23.9,Most to genus or taxa,CANCER OREGONENSIS/PRODUCTUS,CANCER OREG/PROD,Megalopa,2,.026,Most to genus or taxa,Row 16 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,112,052515MC12,2015-05-25 16:19:00,46.26817,-124.3152,35267,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,137,FL (mm),Fork Length,136,21.2,Most to taxa,CANCER OREGONENSIS/PRODUCTUS,CANCER OREG/PROD,Megalopa,0,.052,Most to taxa,Row 17 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-25 00:00:00,2015,Frosti,,,106,052515MC13,2015-05-25 18:22:00,46.30917,-124.3385,35277,Chinook salmon,Oncorhynchus tshawytscha,yearling,CWT/PBT,CWT & Parentage Based Tagging,134,FL (mm),Fork Length,131,19.2,Most to taxa,CANCER MAGISTER,DUNGENESS CRAB,Megalopa,2,.039,Most to taxa,Row 18 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,95,052615MC14,2015-05-26 07:33:00,46.31533,-124.3245,35280,Chinook salmon,Oncorhynchus tshawytscha,yearling,NO,NO TAG,120,FL (mm),Fork Length,114,14.6,Totally digested,EMPTY STOMACH,EMPTY STOMACH,No Food,,0,Totally digested,Row 19 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,95,052615MC14,2015-05-26 07:33:00,46.31533,-124.3245,35281,Chinook salmon,Oncorhynchus tshawytscha,yearling,CWT/PBT,CWT & Parentage Based Tagging,168,FL (mm),Fork Length,162,42.5,Some to taxa,CANCER,CANCER,Megalopa,1,.003,Some to taxa,Row 20 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,95,052615MC14,2015-05-26 07:33:00,46.31533,-124.3245,35282,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/CWT/PBT,Ad clipped & CWT & Parentage Based Tagging,135,FL (mm),Fork Length,129,19.4,Some to taxa,UNIDENTIFIED,UNIDENTIFIED MATERIAL,Material,0,.007,Some to taxa,Row 21 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,108,052615MC15,2015-05-26 09:16:00,46.33133,-124.3745,35289,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/CWT,Ad clipped & CWT,150,FL (mm),Fork Length,146,30.7,Most to genus or taxa,SEBASTES,ROCKFISH,Juvenile,2,.889,Most to genus or taxa,Row 22 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,108,052615MC15,2015-05-26 09:16:00,46.33133,-124.3745,35291,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,166,FL (mm),Fork Length,161,45.1,Most to genus or taxa,PLEURONECTIDAE,RIGHTEYED FLATFISH,Juvenile,1,.143,Most to genus or taxa,Row 23 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,109,052615MC16,2015-05-26 10:24:00,46.3475,-124.4012,35295,Chinook salmon,Oncorhynchus tshawytscha,yearling,NO,NO TAG,135,FL (mm),Fork Length,129,22.6,Most to taxa,OSTEICHTHYES,BONY FISHES,Juvenile,1,.515,Most to taxa,Row 24 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,109,052615MC16,2015-05-26 10:24:00,46.3475,-124.4012,35296,Chinook salmon,Oncorhynchus tshawytscha,yearling,CWT,CWT,151,FL (mm),Fork Length,146,27.6,Some to taxa,OSTEICHTHYES,BONY FISHES,Material,0,.064,Some to taxa,Row 25 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,109,052615MC16,2015-05-26 10:24:00,46.3475,-124.4012,35297,Chinook salmon,Oncorhynchus tshawytscha,yearling,CWT/PBT,CWT & Parentage Based Tagging,131,FL (mm),Fork Length,126,19.9,Most to taxa,OSTEICHTHYES,BONY FISHES,Juvenile,2,.242,Most to taxa,Row 26 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,109,052615MC16,2015-05-26 10:24:00,46.3475,-124.4012,35298,Chinook salmon,Oncorhynchus tshawytscha,yearling,CWT/PBT,CWT & Parentage Based Tagging,141,FL (mm),Fork Length,138,27.8,Some to taxa,OSTEICHTHYES,BONY FISHES,Juvenile,1,.275,Some to taxa,Row 27 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,109,052615MC16,2015-05-26 10:24:00,46.3475,-124.4012,35299,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,142,FL (mm),Fork Length,137,25,Most to genus or taxa,SEBASTES,ROCKFISH,Juvenile,1,.631,Most to genus or taxa,Row 28 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,106,052615MC18,2015-05-26 13:24:00,46.28683,-124.3235,35345,Chinook salmon,Oncorhynchus tshawytscha,yearling,CWT,CWT,141,FL (mm),Fork Length,138,19.8,Totally digested,EMPTY STOMACH,EMPTY STOMACH,No Food,0,0,Totally digested,Row 29 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,106,052615MC18,2015-05-26 13:24:00,46.28683,-124.3235,35346,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/CWT,Ad clipped & CWT,142,FL (mm),Fork Length,140,24.6,Most to taxa,CANCER MAGISTER,DUNGENESS CRAB,Megalopa,3,.107,Most to taxa,Row 30 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,106,052615MC18,2015-05-26 13:24:00,46.28683,-124.3235,35348,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,139,FL (mm),Fork Length,135,21.1,Totally digested,EMPTY STOMACH,EMPTY STOMACH,No Food,,0,Totally digested,Row 31 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,106,052615MC18,2015-05-26 13:24:00,46.28683,-124.3235,35349,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,147,FL (mm),Fork Length,145,31.2,Totally digested,EMPTY STOMACH,EMPTY STOMACH,No Food,,0,Totally digested,Row 32 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
51,2015-05-26 00:00:00,2015,Frosti,,,106,052615MC18,2015-05-26 13:24:00,46.28683,-124.3235,35351,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,149,FL (mm),Fork Length,138,22.7,Most to genus or taxa,CANCER OREGONENSIS/PRODUCTUS,CANCER OREG/PROD,Megalopa,7,.04,Most to genus or taxa,Row 33 of 361,Accessed on 2024-04-24 08:58:13,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Trophic Data: Ocean Juvenile Salmon Stomach Contents (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_stomach_contents)"
